رقم الطلب,حالة الطلب,المدينة,SKU,طريقة الدفع,تاريخ الطلب
55628826,تم التوصيل,Marat,"['(SKU: 1LM6M)عرض الشتوية(Qty: 1)','(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55628292,تم التوصيل,Hail,"['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)','(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)']",دفع عند الإستلام,01/01/2023
55666239,تم التوصيل,Al Qatif,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55634481,تم التوصيل,Hail,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55585846,تم التوصيل,Rafha,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55633034,تم التوصيل,Al Qassim,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55606204,تم التوصيل,Dhahran,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55651042,تم التوصيل,Riyadh,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 2)']",تمارا,01/01/2023
55612730,تم التوصيل,Buraydah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55572706,تم التوصيل,Jeddah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55606129,تم التوصيل,Medina,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55593645,تم التوصيل,Dhahran,['(SKU: BP450MM)عرض صفوة الجوف الكبير(Qty: 1)'],دفع عند الإستلام,01/01/2023
55620021,ملغي,Medina,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],دفع عند الإستلام,01/01/2023
55595204,تم التوصيل,Mecca,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55577299,تم التوصيل,Bishah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55606229,تم التوصيل,Al Qatif,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55645344,تم التوصيل,Tabuk,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: HONY500M)عسل سدر 0.5 كيلو(Qty: 1)']",تمارا,01/01/2023
55663079,تم التوصيل,Mahd Al Thahab,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55624418,تم التوصيل,Jeddah,['(SKU: 1LM6M)عرض الشتوية(Qty: 2)'],البطاقة الإئتمانية,01/01/2023
55573054,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55630866,تم التوصيل,Al Khobar,['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 2)'],مدى,01/01/2023
55631645,تم التوصيل,Al Wajh,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: OLIVEOILE2000M)زيت زيتون بكر قطفة أولى 2لتر(Qty: 1)']",دفع عند الإستلام,01/01/2023
55617032,تم التوصيل,Al Duwadimi,"['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)','(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 2)']",دفع عند الإستلام,01/01/2023
55627921,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55684191,تم التوصيل,Mecca,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],دفع عند الإستلام,01/01/2023
55585281,تم التوصيل,Al Khobar,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55633659,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55640861,تم التوصيل,Al Ahsa,"['(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)','(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55595814,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 2)'],البطاقة الإئتمانية,01/01/2023
55650262,تم التوصيل,Medina,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55674226,تم التوصيل,Khamis Mushait,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55568931,تم التوصيل,Al Khobar,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55638728,تم التوصيل,Hail,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55609894,تم التوصيل,Buqayq,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55592820,تم التوصيل,Buraydah,['(SKU: OLIVEOILE2000M)زيت زيتون بكر قطفة أولى 2لتر(Qty: 1)'],تمارا,01/01/2023
55629890,تم التوصيل,Sajir,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55646424,تم التوصيل,Umluj,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55592059,تم التوصيل,Riyadh,"['(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)','(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)']",دفع عند الإستلام,01/01/2023
55617601,تم التوصيل,Dammam,"['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)','(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)']",مدى,01/01/2023
55596741,تم التوصيل,Al Duwadimi,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55627239,تم التوصيل,Medina,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55635849,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55667677,تم التوصيل,Abha,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55598328,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55659843,تم التوصيل,Riyadh,['(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 3)'],تمارا,01/01/2023
55667253,تم التوصيل,Al Ahsa,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55652509,تم التوصيل,Az Zulfi,"['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)','(SKU: BP450MM)عرض صفوة الجوف الكبير(Qty: 1)']",مدى,01/01/2023
55609119,تم التوصيل,Muhayil,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55672967,تم التوصيل,Sharorah,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],دفع عند الإستلام,01/01/2023
55606671,تم التوصيل,Medina,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55578998,تم التوصيل,Al Badayea,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55570067,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55604047,تم التوصيل,Jeddah,"['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)','(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55623252,تم التوصيل,Mecca,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55617210,تم التوصيل,Al Ahsa,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55591120,تم التوصيل,Khamis Mushait,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],دفع عند الإستلام,01/01/2023
55647372,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55607788,تم التوصيل,Tumair,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55676462,تم التوصيل,Ad Dilam,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55652725,تم التوصيل,Riyadh,['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)'],تمارا,01/01/2023
55670203,تم التوصيل,Hafar Al Batin,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55596212,تم التوصيل,Ar Rass,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55626407,تم التوصيل,Ras Tanura,['(SKU: BP450MM)عرض صفوة الجوف الكبير(Qty: 1)'],تمارا,01/01/2023
55672282,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55682450,تم التوصيل,Jeddah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55587536,تم التوصيل,Hafar Al Batin,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55620841,تم التوصيل,Jeddah,['(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 2)'],مدى,01/01/2023
55629840,تم التوصيل,Unayzah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55644230,تم التوصيل,Riyadh,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: 1LM6M)عرض الشتوية(Qty: 1)']",مدى,01/01/2023
55608728,تم التوصيل,Jeddah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55650239,تم التوصيل,Taif,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55624669,تم التوصيل,Tabuk,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55641939,تم التوصيل,Hafar Al Batin,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55572996,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55572042,تم التوصيل,Az Zulfi,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55667626,تم التوصيل,Al Jubail,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55611580,تم التوصيل,Sakaka,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55596015,تم التوصيل,Howtat Bani Tamim,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55615416,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],دفع عند الإستلام,01/01/2023
55669252,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],تمارا,01/01/2023
55574670,تم التوصيل,Medina,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55631601,تم التوصيل,Al Ahsa,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55592150,تم التوصيل,Jeddah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55669231,تم التوصيل,Najran,"['(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)','(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 1)']",تمارا,01/01/2023
55685608,تم التوصيل,Hail,['(SKU: BP450MM)عرض صفوة الجوف الكبير(Qty: 1)'],تمارا,01/01/2023
55625889,تم التوصيل,An Nabhaniyah,"['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 2)','(SKU: OLIVEOILE4000M)زيت زيتون بكر قطفة أولى 4لتر(Qty: 1)']",دفع عند الإستلام,01/01/2023
55598792,تم التوصيل,Al Muzahimiyah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55635666,تم التوصيل,Hail,"['(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 1)','(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)']",دفع عند الإستلام,01/01/2023
55668775,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55627514,تم التوصيل,Dammam,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55673832,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55577727,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55647810,تم التوصيل,Medina,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55612768,تم التوصيل,Abha,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55575052,تم التوصيل,DIRIYAH,['(SKU: 1LM6M)عرض الشتوية(Qty: 2)'],مدى,01/01/2023
55570284,تم التوصيل,Al Ahsa,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55654659,تم التوصيل,Buraydah,['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)'],مدى,01/01/2023
55609503,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],تمارا,01/01/2023
55652041,تم التوصيل,Hail,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55617079,تم التوصيل,Jeddah,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55651385,تم التوصيل,Sharorah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55652547,تم التوصيل,Badr,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55604936,تم التوصيل,Mecca,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],تمارا,01/01/2023
55632033,تم التوصيل,Riyadh,['(SKU: HONY500M)عسل سدر 0.5 كيلو(Qty: 1)'],دفع عند الإستلام,01/01/2023
55641746,تم التوصيل,Riyadh,"['(SKU: 1LM6M)عرض الشتوية(Qty: 1)','(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)','(SKU: HONY1000M)عسل سدر 1كيلو(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55673162,تم التوصيل,Hail,['(SKU: BP450MM)عرض صفوة الجوف الكبير(Qty: 1)'],دفع عند الإستلام,01/01/2023
55588295,تم التوصيل,Al Kharj,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55609898,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55614363,تم التوصيل,Mecca,['(SKU: OLIVEOILE4000M)زيت زيتون بكر قطفة أولى 4لتر(Qty: 1)'],تمارا,01/01/2023
55597703,تم التوصيل,Al Ahsa,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55601034,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55644863,تم التوصيل,Riyadh,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)']",مدى,01/01/2023
55615785,ملغي,Jazan,['(SKU: OLIVEOILE2000M)زيت زيتون بكر قطفة أولى 2لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55579449,تم التوصيل,Al Khobar,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],تمارا,01/01/2023
55629118,مسترجع,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55608642,تم التوصيل,Al Ahsa,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55588439,تم التوصيل,Taif,"['(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)','(SKU: HONY1000M)عسل سدر 1كيلو(Qty: 1)']",تمارا,01/01/2023
55684857,تم التوصيل,Taif,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55573569,تم التوصيل,Yanbu,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55582031,تم التوصيل,Riyadh,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 1)']",مدى,01/01/2023
55650117,تم التوصيل,Riyadh,"['(SKU: HONY500M)عسل سدر 0.5 كيلو(Qty: 1)','(SKU: 1LM6M)عرض الشتوية(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55589433,تم التوصيل,Duba,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],تمارا,01/01/2023
55598567,تم التوصيل,Riyadh,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55574041,تم التوصيل,Jeddah,['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55666669,تم التوصيل,Tabuk,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55598073,تم التوصيل,Ahad Al Masarihah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55622427,تم التوصيل,Buraydah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55611686,مسترجع,Dammam,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55631904,تم التوصيل,Riyadh,"['(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 1)','(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55626520,تم التوصيل,Jeddah,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55593067,ملغي,Almajaridah,['(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 2)'],دفع عند الإستلام,01/01/2023
55570801,تم التوصيل,Al Jubail,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],تمارا,01/01/2023
55580484,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55638910,تم التوصيل,Riyadh,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55661068,تم التوصيل,Riyadh,"['(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)','(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)']",البطاقة الإئتمانية,01/01/2023
55616536,تم التوصيل,Al Ahsa,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55672528,تم التوصيل,Najran,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55568649,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55661953,تم التوصيل,Hail,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55571176,تم التوصيل,Abha,"['(SKU: OLIVEOILE4000M)زيت زيتون بكر قطفة أولى 4لتر(Qty: 1)','(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)']",دفع عند الإستلام,01/01/2023
55672482,تم التوصيل,Riyadh,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)']",دفع عند الإستلام,01/01/2023
55674685,تم التوصيل,Medina,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55681915,تم التوصيل,Bishah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55575123,تم التوصيل,Khamis Mushait,['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 2)'],مدى,01/01/2023
55615735,تم التوصيل,Al Qurayyat,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55637890,تم التوصيل,Riyadh,"['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)','(SKU: THYME500M)زعتر بري فاخر 0.5 كيلو(Qty: 1)']",دفع عند الإستلام,01/01/2023
55596431,تم التوصيل,Unayzah,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],تمارا,01/01/2023
55657208,تم التوصيل,Al Hofuf,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55618894,تم التوصيل,Samtah,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],تمارا,01/01/2023
